Denumirea_stiintifică,Denumirea_populară,Clasa,Familia,Habitat,Localitatea,Silvice,Pajisti_sau_stepice,Stancarii,Palustre_si_acvatice,P_rară,Conventia_Berna,Directiva_Habitate,RM_Cartea_R_2015,Frcevența
Equisetum arvense L.,Ecvisetă campestră,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
Equisetum hyemale L.,Ecvisetă hibernantă,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
Equisetum palustre L.,Ecvisetă palustră,Equisetopsida,Equisetaceae,,, , , ,+,,,,,C
Equisetum telmateia Ehrh. ,Ecvisetă telmicolă,Equisetopsida,Equisetaceae,,, ,+, , ,,,,,C
Ophioglossum vulgatum L.,Grăitoare comună,Polypodiopsida,Ophioglossaceae,,,,,+,,,,,,RR
Athyrium filix-femina (L.) Roth,Filice feminină,Polypodiopsida,Athyriaceae,,,+,,,,,,,,RR
Cystopteris fragilis (L.)Bernh,Vezicarie fragilă,Polypodiopsida,Athyriaceae,,,,,+,,,,,,RR
Asplenium ruta-muraria L.,Ruginiță parietală,Polypodiopsida,Aspleniaceae,,,,,+,,,,,,R
Asplenium trichomanes L,Ruginiță filiformă,Polypodiopsida,Aspleniaceae,,,,,+,,,,,,R
Gymnocarpium dryopteris(L.) Newman,Gimnocarpiu ferigoideu,Polypodiopsida,Aspidiaceae,,,,,+,,,,,,RR
Gymnocarpium robertianum (Hoffm) Newman,Gimnocarpiu Robert,Polypodiopsida,Aspidiaceae,,,,,+,,,,,,RR
Dryopteris dilatata (Hoffm.) A. Gray,Ferigă dilatată,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
Dryopteris carthusiana H.P. Fuchs  ,Ferigă cartuziuană,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
Dryopteris caucasica (A.Br.) Fraser-Jenkins et Corley,Ferigă caucaziană,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
Dryopteris filix-mas (L.) Schott  ,Ferigă masculină,Polypodiopsida,Dryopteridaceae,,,+,,,,,,,,RR
Acer campestre L.,Jugastru,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
Acer negundo L.,Arțar negru,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
Acer platanoides L.,Paltin de câmp,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
Acer pseudoplatanus L.,Paltin de munte,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
Acer tataricum L.,Arțar tătăresc,Magnoliopsida,Aceraceae,,,+,,,,,,,,C
Aegopodium podagraria L.,Piciorul caprei,Magnoliopsida,Apiaceae,,, +, , , ,,,,,C
